연번,수송일자,호선,역번호,역명,승하차구분,승객유형,인원수
1,2023-01-01,9,4126,언주역,승차,일반,1849
2,2023-01-01,9,4126,언주역,승차,어린이,48
3,2023-01-01,9,4126,언주역,승차,청소년,59
4,2023-01-01,9,4126,언주역,승차,무임권,388
5,2023-01-01,9,4126,언주역,승차,정기권,29
6,2023-01-01,9,4126,언주역,하차,일반,1990
7,2023-01-01,9,4126,언주역,하차,어린이,45
8,2023-01-01,9,4126,언주역,하차,청소년,52
9,2023-01-01,9,4126,언주역,하차,무임권,399
10,2023-01-01,9,4126,언주역,하차,정기권,38
11,2023-01-02,9,4126,언주역,승차,일반,9820
12,2023-01-02,9,4126,언주역,승차,어린이,50
13,2023-01-02,9,4126,언주역,승차,청소년,108
14,2023-01-02,9,4126,언주역,승차,무임권,879
15,2023-01-02,9,4126,언주역,승차,정기권,216
16,2023-01-02,9,4126,언주역,하차,일반,10012
17,2023-01-02,9,4126,언주역,하차,어린이,49
18,2023-01-02,9,4126,언주역,하차,청소년,112
19,2023-01-02,9,4126,언주역,하차,무임권,851
20,2023-01-02,9,4126,언주역,하차,정기권,238
21,2023-01-03,9,4126,언주역,승차,일반,10280
22,2023-01-03,9,4126,언주역,승차,어린이,60
23,2023-01-03,9,4126,언주역,승차,청소년,114
24,2023-01-03,9,4126,언주역,승차,무임권,989
25,2023-01-03,9,4126,언주역,승차,정기권,244
26,2023-01-03,9,4126,언주역,하차,일반,10620
27,2023-01-03,9,4126,언주역,하차,어린이,53
28,2023-01-03,9,4126,언주역,하차,청소년,122
29,2023-01-03,9,4126,언주역,하차,무임권,945
30,2023-01-03,9,4126,언주역,하차,정기권,258
31,2023-01-04,9,4126,언주역,승차,일반,10412
32,2023-01-04,9,4126,언주역,승차,어린이,78
33,2023-01-04,9,4126,언주역,승차,청소년,152
34,2023-01-04,9,4126,언주역,승차,무임권,1027
35,2023-01-04,9,4126,언주역,승차,정기권,233
36,2023-01-04,9,4126,언주역,하차,일반,10617
37,2023-01-04,9,4126,언주역,하차,어린이,67
38,2023-01-04,9,4126,언주역,하차,청소년,158
39,2023-01-04,9,4126,언주역,하차,무임권,964
40,2023-01-04,9,4126,언주역,하차,정기권,252
41,2023-01-05,9,4126,언주역,승차,일반,10545
42,2023-01-05,9,4126,언주역,승차,어린이,62
43,2023-01-05,9,4126,언주역,승차,청소년,147
44,2023-01-05,9,4126,언주역,승차,무임권,995
45,2023-01-05,9,4126,언주역,승차,정기권,249
46,2023-01-05,9,4126,언주역,하차,일반,10859
47,2023-01-05,9,4126,언주역,하차,어린이,59
48,2023-01-05,9,4126,언주역,하차,청소년,140
49,2023-01-05,9,4126,언주역,하차,무임권,1005
50,2023-01-05,9,4126,언주역,하차,정기권,258
51,2023-01-06,9,4126,언주역,승차,일반,10824
52,2023-01-06,9,4126,언주역,승차,어린이,76
53,2023-01-06,9,4126,언주역,승차,청소년,130
54,2023-01-06,9,4126,언주역,승차,무임권,1060
55,2023-01-06,9,4126,언주역,승차,정기권,248
56,2023-01-06,9,4126,언주역,하차,일반,11015
57,2023-01-06,9,4126,언주역,하차,어린이,70
58,2023-01-06,9,4126,언주역,하차,청소년,131
59,2023-01-06,9,4126,언주역,하차,무임권,1048
60,2023-01-06,9,4126,언주역,하차,정기권,257
61,2023-01-07,9,4126,언주역,승차,일반,5399
62,2023-01-07,9,4126,언주역,승차,어린이,108
63,2023-01-07,9,4126,언주역,승차,청소년,212
64,2023-01-07,9,4126,언주역,승차,무임권,795
65,2023-01-07,9,4126,언주역,승차,정기권,85
66,2023-01-07,9,4126,언주역,하차,일반,5421
67,2023-01-07,9,4126,언주역,하차,어린이,98
68,2023-01-07,9,4126,언주역,하차,청소년,213
69,2023-01-07,9,4126,언주역,하차,무임권,829
70,2023-01-07,9,4126,언주역,하차,정기권,92
71,2023-01-08,9,4126,언주역,승차,일반,3059
72,2023-01-08,9,4126,언주역,승차,어린이,88
73,2023-01-08,9,4126,언주역,승차,청소년,183
74,2023-01-08,9,4126,언주역,승차,무임권,498
75,2023-01-08,9,4126,언주역,승차,정기권,45
76,2023-01-08,9,4126,언주역,하차,일반,3090
77,2023-01-08,9,4126,언주역,하차,어린이,92
78,2023-01-08,9,4126,언주역,하차,청소년,181
79,2023-01-08,9,4126,언주역,하차,무임권,539
80,2023-01-08,9,4126,언주역,하차,정기권,43
81,2023-01-09,9,4126,언주역,승차,일반,10594
82,2023-01-09,9,4126,언주역,승차,어린이,64
83,2023-01-09,9,4126,언주역,승차,청소년,155
84,2023-01-09,9,4126,언주역,승차,무임권,990
85,2023-01-09,9,4126,언주역,승차,정기권,243
86,2023-01-09,9,4126,언주역,하차,일반,10912
87,2023-01-09,9,4126,언주역,하차,어린이,59
88,2023-01-09,9,4126,언주역,하차,청소년,146
89,2023-01-09,9,4126,언주역,하차,무임권,997
90,2023-01-09,9,4126,언주역,하차,정기권,257
91,2023-01-10,9,4126,언주역,승차,일반,10719
92,2023-01-10,9,4126,언주역,승차,어린이,52
93,2023-01-10,9,4126,언주역,승차,청소년,152
94,2023-01-10,9,4126,언주역,승차,무임권,1098
95,2023-01-10,9,4126,언주역,승차,정기권,249
96,2023-01-10,9,4126,언주역,하차,일반,11123
97,2023-01-10,9,4126,언주역,하차,어린이,43
98,2023-01-10,9,4126,언주역,하차,청소년,142
99,2023-01-10,9,4126,언주역,하차,무임권,1080
100,2023-01-10,9,4126,언주역,하차,정기권,268
101,2023-01-11,9,4126,언주역,승차,일반,10599
102,2023-01-11,9,4126,언주역,승차,어린이,52
103,2023-01-11,9,4126,언주역,승차,청소년,154
104,2023-01-11,9,4126,언주역,승차,무임권,1157
